country,gdp
United States,21.44
China,14.14
Japan,5.15
Germany,3.86
India,2.94
United Kingdom,2.74
France,2.71
Italy,1.99
Brazil,1.85
Canada,1.73
Russia,1.64
Korea,1.63
Spain,1.39
Australia,1.38
Mexico,1.27
